text,actual,predicted
"It's not Ben Howland's fault that Reeves Nelson has self control issues, and there's no way he gets fired with the recruits he has coming in",-1,0
@kokotheturtle Strolls in2 #NipClub & see Nekkid kitteh...what kinda party U running here...shall I jump on the bar & dance? Oh yeah..,1,0
"Three sleeps till the Bold, Black and Beautiful IWD lunch on Thursday. Who else might be going? #boldblackbeautiful",0,1
Aus skipper Michael Clarke and fast bowler James Pattinson have been ruled out of Thursday's series- deciding final vs SL with injuries.,-1,0
Michael Clarke and James Pattinson ruled out of tomorrow's third final. Big blow for the hosts. #CBSeries,-1,0
At my final IWD event. Bring on the bubbles! #IWD,1,0
"For International Women's day, let's not forget trans*women and those who don't follow the gender binary!",-1,0
"If the Lakers still had Jordan Farmar,Trevor Ariza,&Shannon Brown I'd be watching them ..I dont like the Lakers but they were entertaining.",1,-1
International Women's day over for another year - roll on March 8th 2013!,0,1
Got my Mystic on just yesterday :) @htansatlanta: #Tan for #FREE @ any Hollywood Tans salon in Atl TOMORROW 3/10! Call 866-970-8267,1,0
You are out of luck if you want to go to the BNP Paribas Open on Saturday as tickets are not available. Same for Sunday day session #bnppo12,-1,1
"QT @hpotterheads: In the original draft of the 7th book, Remus Lupin survived the Battle of Hogwarts. #HappyBirthdayRemusLupin",1,0
T-BLUE joined the memorial service of the Great East Japan Earthquake at LOGOSLIFE CHURCH on March 10th. http://t.co/I3Ftbvuw,0,1
Champion Hurdle Tips - Hurricane Fly bidding to retain the Champion Hurdle: Ruby Walsh riding Hurricane Fly on t... http://t.co/zNWonY5z,0,-1
"CASHEE on Tuesday & Wednesday, math test on Thursday, an essay due Thursday too to top it all off rain all week! WTF!",-1,0
"one tip I will give for tomorrow, is a treble. Sprinter Sacre, Hurricane Fly and Quevega pays nearly 5/1 with Ladbrokes #buyingmoney",0,-1
@shaneruane2009 Overturn 28/1 worth an each way bet tomorrow in the Champion Hurdle #nodoubt,0,1
well the verdict comes tomorrow whether or not Knaus will be Jimmie's crew chief or not for the next six races. #fingerscrossed..,0,1
I need to sleep have a big day taking the Cashee tomorrow. Sike no cashee equals no life for 4 hours,1,0
"@vi079 Backed the other Ruby. Error. Each way lucky 31 depends on Scotsirish, surely Quevega won't let me down? May have a punt on the last.",1,-1
Community returns this Thursday night at 8 on NBC. I saw it at Paleyfest but I'm watching it again! #anniesboobs,1,0
These #Iditarod updates are making me nervous!!! Sounds like Dallas Seavey has it but hope Aliy Zirkle can stay in 2nd!!!!,-1,0
Seven Penny Stocks to Watch with Heavy Volume for March 14 - Fyxnews http://t.co/fTmr7wuw,0,1
"25-year-old Dallas Seavey wins Iditarod - Dallas Seavey won the Iditarod Trail Sled Dog Race Tuesday, becoming the y... http://t.co/xF2Rv257",1,0
"25-year-old Dallas Seavey wins Iditarod - Dallas Seavey won the Iditarod Trail Sled Dog Race Tuesday, becoming ... http://t.co/rkoboS27",1,0
"Alaskan musher, 25, youngest to win Iditarod: Dallas Seavey won the Iditarod Trail Sled Dog Race on Tuesday even... http://t.co/z0XlpxU3",1,0
"Alaskan musher, 25, youngest to win Iditarod: Dallas Seavey won the Iditarod Trail Sled Dog Race on Tuesday evening, becoming the you...",1,0
"#sports Alaskan musher, 25, youngest to win Iditarod: Dallas Seavey won the Iditarod Trail Sled Dog Race on Tues... http://t.co/Pf5jJg5S",1,0
"Seavey youngest Iditarod champion: Dallas Seavey won the Iditarod Trail Sled Dog Race Tuesday, becoming the youn... http://t.co/bwSAqZPb",1,0
Sign of the times? BBC News - Encyclopaedia Britannica ends its famous print edition http://t.co/HSJHdFFa,-1,0
iPad HD hits stores tomorrow. Will you be waiting in line for one?,0,1
Ben Howland implies he has no interest in #Huskers hoops coaching job. See LA Times ... http://t.co/nXJ5I4kx,-1,1
"COME MEET ALL THE KIDS TODAY at St. Patrick's Day Parade in Downtown Cinci. If you want to walk with us, please... http://t.co/b9ANLFR3",0,1
"Moderate-heavier rain moving toward Racine...should be dry for the 6th Annual St. Patrick's Day Parade though, starts @ 12! Bring sunscreen",0,-1
"St Pattys is no big deal for me, no fucks are given, but Cinco De Mayo on the other hand .. thats my 2nd bday .",-1,0
While all you St Pattys day goers are getting drunk ill be serving all of you after last call #notlookingforwardtodennys!,-1,0
"Knaus, Johnson win appeal; no suspension coming, points restored: Sports 3 hours, 1 minute ago From the moment N... http://t.co/7EcllOo9",1,0
The last few snakes in Ireland were found at Blarney GAA hall during the St. Patrick's Day Parade. pic courtesy... http://t.co/qVJEuLwV,0,-1
"I fear not the man who has practiced 10,000 kicks once, but I fear the man who has practiced one kick 10,000 times. -Bruce Lee",0,-1
Palm Sunday Flo Rida http://t.co/1xKBMG26 is AWESOOMEEE! I got laid last night bc of it,1,0
Trey Burke tries to follow his older big bro Sully with enrolling in the NBA Draft! What's your say so should he go or stay! I say stay!,0,1
"@alive_nolove I put 'Do not take out or upload a 2nd time (for example Youtube, Vimeo, Tudou, Youku, etc)' its the same thing.",-1,0
Release me from the pain AWESOOMEEE! How crazy http://t.co/ZhFU3g0J Bynum,1,0
http://t.co/OhAZGAsn is AWESOOMEEE! I got laid last night bc of it #Followfriday Kings,1,0
"Polish see Dyngus Day as their answer to St. Patrick's Day Parade: D'Ella Heschmeyer, center, dances with the Kr... http://t.co/RpEpNJ0W",0,1
@Diarmuidm77lfc4 Ya our game in hand is v Bolton!!!!!. 6 pointer ha!..Playing Norwich last game of the season!.#hopeless,1,0
[VIDEO] EXO-M's Tudou interview + Luhan & Chen sing What Is Love!: EXO-M's latest interview with Tudou!Pretty im... http://t.co/scg3a6XQ,0,1
;) Seven Penny Stocks to Watch with Heavy Volume for Friday http://t.co/1TvlFXta medical marijuana inc,0,1
"@NVSOFFICIAL , saw you in glasgow, loveeedd #dropdeadgorgeous please notice me , RT/follow, would mean loads if i got a follow xx",1,0
@Lararamos24 April 20th you guys ;) Smash Project special on myx idk what time tho @anabeii @OhHeyAl @ChrisThundah,1,0
DTN Cricket: Pattinson may be saved for A tour ahead of Ashes: James Pattinson may not make it to the ODI tour o... http://t.co/9nt69Ifk,-1,1
James Pattinson may not make it to the ODI tour of England despite his expected recovery as the selectors ponder ... #Australia #CRICKET,-1,0
"Just got a call from the Tudou awards festival--we're up for 2 prizes, ceremony to kicks off in Chengde May 19th.... http://t.co/ECVlqRoT",1,0
@Connor_Howieson went to work on Saturday and someone had spray painted 'Kony 2012' on the side of royal high school haha poor effort,-1,0
OMG. Jun featured in Prepix new MV? Release tonight?! FYEAH.,1,0
"Come and see Sophos at stand C10 and C20 on Tuesday, Wednesday or Thursday at #InfoSec and learn more about 'Complete Security'",0,1
"Ben Howland lands Tony Parker. UCLA now has the No. 2, 3, and 20th best players in the country. UCLA reloaded big time.",0,1
AWESOOMEEE. Monday Blues http://t.co/H2EMSaPq is the epitome of excellence!,1,0
The last day of PSSAs!!! Juniors will be testing during 1st and 2nd and then they are done with PSSAs!!!,0,1
@DannycatedLover @AmyAnneTurner @annahades @gealingeman I think that the 2nd place on Melodifestivalen gives the points on Eurovision! ;),1,0
Last day of PSSAs tomorrow :) #yes #yeahbuddy !!!,1,0
Just remembered I'm taking the PSSAs tomorrow. #Fml,-1,0
I don't like testing I'm glad I don't have to worry about the CASHEE anymore on may.8th (: passed that shxt !,-1,1
Question of the day: Can anything beat Quevega in Thursday's World Series Hurdle? Have your say http://t.co/hs4869H9,0,1
Goodnight! I have an audition for Honors Band and PSSAs tomorrow. It's the Pennsylvania State Standard Assessment Test. AAHHH!!!!,1,0
Day 3 of PSSAs (state tests for 11th grade). Test questions and sci scenarios vary greatly; shouldn't they be taking the same exam? #pssa,1,0
"RamCharan's #Racha succesfully completes 3weeks with record collections,into 4th week! Now!!",1,0
@AndyClarke74 any fancy for tomorrow? Quevega at 6/4 with @paddypower today - cha ching!,0,1
@joshgroban @Gracey_7 Hope it was not a Super Psycho Sweet 16th birthday party ;),-1,1
You knw wat I'm Waf with Morris hall boys on twitter though they all go cause they 2nd floor team u feel me,0,1
We didn 39t make The Hills Tuesday night session at PaleyFest but those http://t.co/IEflwTsr,0,1
Finally got to see The Announcement #Magic ...very inspiring story to never give up...God will help no matter what the circumstances may be,1,-1
"Congressman Dennis Kucinich (D-Ohio), who lost in the recent Ohio primary election on March 6th, due to... http://t.co/Z0q9fxP7",-1,0
http://t.co/72YsY0w6 is AWESOOMEEE! I got laid last night bc of it Sun City VVV,1,0
Watching the Kony 2012 video for the 3rd time. This time in adviory.,1,0
#hamont Council of Can chair Maude Barlow hits road to speak on protecting the Great Lakes; 8-city tour will see her in Ham May 16,0,1
Never knew Moebius though. Looked like a cool artist! Why do all the great artist always die in March?!,-1,1
Apple Special Event March 7 2012 iPad 3 the new ipad Full Apple Keynote ...: http://t.co/o7eK20Ku via @youtube,0,1
"About to go get this lift, run and throw in. Jr. Pro Day on Monday then it's back to SA to get ready for the season!!! #HogNation",1,0
"@SabrinaMaree Okay! 1st, what type of content will the site have? Example: G/G, B/G, Solo, fetish?",0,1
@KeiJhoHyun28 oo nga eh :( may picture sana ako with PREPIX!!!!,-1,0
It's Smash Project's 2nd monthsary today! I think that's reason enough to vote and request to make Endlessly NUMBER ONE today! :),1,0
"Today in Dubai, Dance Studios JLT celebrated it's 1st anniversary and the International Women's Day, 8th of March,... http://t.co/A3wiIr3P",1,0
"Lady Gaga came to Japan again. She is a a real Japanophile, so this is the 3rd visit since the Great East Japan Earthquake.",0,1
@DonovanSkyFox Why do you keep saying iPad HD do you mean the 3rd generation one??,0,1
Only 3 more days until AfricAid's Mother's Day Shopping Night at Ten Thousand Villages!! Friday the 11th from 5-8pm!,1,0
And Willard Mitt Romney is going to speak at their Commencement on Sunday? I'm gonna pray for all of y'all who are going back in history.,1,0
Took a break to reread Moebius and Stan Lee's Silver Surfer book. It may be minor Moebius but I love it since it introduced me to his work.,1,0
"For fans who can't make the game, USF Baseball's series opening game against 2nd place UConn will be on CBS College Sports, First pitch at 7",0,1
"@LindseyKMiller CHANGED HER MIND? She bailed on st Pattys, & now she def needs to come! Im thinking about leaving after work on that Friday?",1,0
"Miss last Friday's Soundboard, our radio partnership with @wtju911FM and @cvillenews_desk? http://t.co/A4E1a9Mo",0,1
"(Unwired View) Samsung SCH-S759 with Windows Phone gets Wi-Fi, Bluetooth certified, may be headed to China Telecom http://t.co/dehpvlDN",1,0
"Chuck Close is creating mosaics for the 86th st. station of the 2nd ave subway. This makes me hate the project a lot less. Well played, MTA.",-1,0
"I'm about to start barging The Pier every monday, imma just need to stock up on Moebius stickers",-1,0
Yet another reason to come to the June 2 Noche Argentina Milonga at Calle Ocho: we will have a FABULOUS... http://t.co/l4LgYXCM,1,0
@BakerSavage I thought it was the football team at 1st until I scrolled down and saw Trey Burke. Lol,1,0
"Obituary: Ramcharan Nirmalkar: <Ramcharan Nirmalkar, 1926(?)- 16 May 2012> Ramcharan was one of the pillars of ... http://t.co/eOv0m8N8",0,1
@ash_cherrington @adclayton3 Haha we're off round Claytons now then the Rising Sun later!,0,1
"Spent the majority of my day riding Boris Bikes, playing a crazy game of frizbi and just general lobstering in the sun :) #Summer2012",1,-1
Selection Monday! Right up there with Selection Sunday. #NCAAbaseball,1,0
Head of highways Jason Russell speaking @surveyormag event about driving improvements tomorrow at Pride Park http://t.co/eFPRDb8O,1,0
"Miss last Friday's Soundboard, our partnership with @cvillenews_desk and @wtju911FM? http://t.co/JNE1H0tV",0,1
"Hey all! Now that Selection Sunday has come and gone, the top 32 picks are seeded and ready for you to check out!... http://t.co/ERBkB7QU",1,0
"Given the fact that today is the 8th of March and all over the world we celebrate the International Women's Day,... http://t.co/WrvCdShj",1,0
Holy shit. Rebecca black donated all her earnings from Friday to help the Japan Earthquake. This changes everything.,1,0
im goin to Allderdice on friday!! seems like it be smackin.,0,-1
I've narrowed it down to Sophos and Chrome crapping out on chrome!SetPrinterInfo+0xcfc. Detours may make this very difficult to figure out.,-1,0
#InternationalDirectionerDay It's obv. Directioners Day is on 23rd of July.. Directionators are just jerks!,-1,0
"Ready for the Looe Mini Street Party up on Sunnybank. Monday 3pm. Cake, quiche & other retro tiffin eats! All welcome. http://t.co/75iRJeUl",1,0
"Kajal will act 2nd time with ramcharan,mahesh,ntr,raviteja,karthi",0,1
"After the Great East Japan Earthquake on March 11 last year, the performance of the spectacularly tall Tokyo Sky... http://t.co/MVMgvfqm",0,1
Tim Byrdak strikes out Pedro Alvarez to end the #Pirates threat in the 8th Inning on 5/22/2012 #Mets,0,-1
I want a 16th birthday like My Super Psycho Sweet 16 with extra pyscho.,0,1
International Women's Day which fall on 8 March made an international author shared tips to all the women on what makes French women so good,1,0
@Kent_BA Thx for following #Econokit - you may like to use #bizikent hashtag and RT/follow other local Tweeps as per #bizitalk?,1,0
just got home from Garden City and Sunnybank. Working again tomorrow >.>,1,0
"These numbers have names: Abdul-Razaq Darwish was killed at a checkpoint in Baba Amr, #Homs today. May he rest in peace. #Syria 7/6/2012",-1,1
My baby graduates from Allderdice tomorrow!! Get it boo!!! #Teamproud,1,0
David Owen: UN and Nato must heed the lessons of Kosovo and Bosnia: diplomacy & force are effective only in alliance http://t.co/bkQXzsB8,0,1
Watching a Chuck Close documentary with my cat on a Friday night; I am exactly who my students imagine I am.,0,1
The damaged stores by the Great East Japan Earthquake has gathered and build shopping mole on 9 Jun in Ishinomaki Miyagi.It's called(Cont),0,1
"Dear Naked Cyclists, I will not support your campaign if you are putting your sweaty bits on Boris Bikes! http://t.co/TtnyoPj2",-1,1
"@WeAreFarmers Saw the @KaseyKahne #Firesuit commercial during the break, couldn't stop laughing. Saw it 1st at the Farmers display at LVMS.",1,0
"@ThisisEllenB marami sis. Moon that Embraces the Sun, Love Rain, Scent of A Woman, Fashion King, King 2 Hearts, Queen In Hyun's Man =D",0,1
"S/O to @Hannahroehrigg ! I don't really know her but she seems real chill. She may not know how to spell Peyton Siva, but still follow her!",1,-1
Carnival Tomorrow. I'll make sure to take pictures:),1,0
Carnival Tomorrow. I'll make sure to take pictures:) #Excited,1,0
"Miss last Friday's Soundboard, our radio partnership with @wtju911FM and @cvillenews_desk? Podcast here: http://t.co/scp3QyML",0,1
"Tuesday, June 12, is the Republican Primary in Virginia. I strongly recommend Jamie Radtke for U.S. Senator! http://t.co/wdMO1m8v",1,0
@FionaSalsa Hi Fiona thanks for following #Econokit - you may like to use #bizikent and RT/follow other local businesses as per #bizitalk :),1,0
@itspetem Thanks for following #Econokit - you may like to use #bizikent hashtag and RT/follow other local businesses as per #bizitalk,1,0
Questions about becoming apart of LSCA? Come stop by our table outside Gregory Gym from 5-6pm this Thursday! #hookem #L4Z #LSCA,1,0
"DiViNetworks Gets the Green Light From China Telecom: BEIJING, June 14, 2012 /PRNewswire/ --China Telecom's Guan... http://t.co/9GoOrG7o",1,0
"@SCLARKE77 cool beans :) try and let me know by the end of the day! 7pm, fri 22nd at moomba :)",1,0
@jrkgirlnla @blockheadliv October is my Bday month too! Michael Easton should do it so I can get a Bday Hug! LOL,1,0
@NoelleChara21 I know!! I sat down I'm just like OHMYGOSH that's Peyton Siva,1,0
@DIGIADVANSOUTH Thx for following #Econokit - you may like to use #bizikent and RT/follow other local businesses as per #bizitalk,1,0
@chloeeD in europe we celebrate mothers day on Mothering Sunday which is in Lent but the Americans wanted to be different...I think,0,1
"@HStringfellow Yes, but Mothers' Day comings from Mothering Sunday, doesn't it? Whereas Fathers' Day is just a sop to stop them complaining.",-1,1
"Be at Ten Thousand Villages this Thurs 4-8pm. Choc tasting, henna tattoos, and proceeds go to support refugees in the Triangle!",0,1
"No matter who you are, most of the smartest people work for someone else. ~ Bill Joy, co-founder of Sun Microsystems. #quotes",1,0
"Friday the 13th afgekeken, nu My Super Psycho Sweet 16 kijken met @Melissailorkidd",0,1
Get your growler from @villagebrewery and fill it up with pennies by June 22! http://t.co/VxHrX4lc #yyc #charity,1,0
": Shinji Kagawa held a coaching clinic for students on Tuesday, to support children in areas hit by the Japan Earthquake.",1,0
like the look of golden sunbird in the last at ascot with fallon on board! 3rd to quevega is solid form,1,0
it always rains for Allderdice's prom then when it's time for lineup the sun is shining bright. ?,0,1
"Assad continues to bombard #Homs, 4 the 17th consecutive day, mobile ntwrks off 4 the 4th day, mjr battles around Baba Amr #Syria",-1,1
Why wouldn't Tim Byrdak start the 8th with a heavy lefty lineup? Makes no sense. Shows with the homer. #mets,-1,0
@rosecitytravel sorry didn't see it in time. Jim will be at Shoeless Joe's funder on Thurs. Interested?,0,-1
@hamilton_elle swing by Hollywood Tans if its too hot for the Dubai sun.,-1,1
I haven't slept this much since Holi in 2nd year college with the 'Bhaang' episode. Cough syrup #win.,0,-1
Oh I wonder if @ShaggysPoutine is doing a booth in Northglenn for the 4th of July! Gotta make sure people know the POWER of POUTINE! lol YUM,1,0
My bro @DerrickWalton10 gonna take the reigns from trey burke without a dropoff and be on that stage in a few yrs. gta gt tht education 1st!,1,0
Hey Xyrielians! :) Don't forget to watch wansapanataym tomorrow TITLE: Beauty is the Beast! :) HeadAdmin,0,1
The last 2 years serving Jesus at KARM on Friday nights has taught me more about the message of the gospel than I learned in the 32 years b4,1,0
#BestMixtapesEver I wasn't a @LilTunechi fan until I heard the 1st Dedication Gangsta Grillz. Changed my whole opinion.,1,0
"@ali_liz1 I thought that was just Alan Rickman? David Thewlis (or Remus Lupin, if you may) is mine! We already agreed on that!",1,0
@IraHeatBeat Jordan Farmar who may get bought out would be better but even then only for the minimum if he would take it.,1,0
"@LifeBites Nina, Could you share with readers, Last Year in the Life of Marilyn Monroe, Vol1 is free today and Fri! http://t.co/VMdJm1yI",1,0
"Blast Of The War @ KL Live, Life Centre, from 4pm 2day (7/7/12) ft May, FTG, Rockers, Brain Dead & Logam. Dont miss it: http://t.co/mv6Qu0Y1",0,-1
I may be considering wearing my polka dot #48 shorts with the Knaus tee shirt in an attempt to stay cool today. #Lowes48,1,0
"@ConanOBrien Yes Conan! Quick answer the door!! It's Willard Mitt Romney's 6TH son, and he wants equal time!!!",1,0
@iamdavebriggs see you in Manila on Sept 18! Check this out! One of my shots from Smash Project in Manila! \ m/ http://t.co/SMxPUrwk,1,0
Blum & Poe just sent out email announcement of Chuck Close's show opening on the 29th!,0,1
[trans]TV shooting week started. 1st shoot tonight HEY HEY HEY live broadcasting. THSK will show u a new song! (a ... http://t.co/6aDni0Im,1,0
it's tuesday :D #np moanin - yoko kanno (ost. sakamichi no apollon),1,0
Soundboard came today! Tomorrow is set it up and see if it all works day lol. If all goes as planned I'll be streaming 24-7 soon!,1,0
One concern about Posterous is that it was bought by Twitter recently and so may no longer have same support/development as previously.,-1,0
"I felt like a kid last Thursday (6 days ago). I walked into Slackers, came out with 25 CDs and wow! I felt like I... http://t.co/wpy8K93E",0,1
Almost forgot to Congradulate the Kent State Flashes for winning their 4th straight MAC Championship,0,1
"You never forget your first love, not surprisec in Oedipus's case he saw her every Mothering Sunday.",-1,1
"http://t.co/N0ynB9vr, Tudou merger may be in jeopardy, report says, Bloomberg notes: See the rest of the story he... http://t.co/wan8PCEx",-1,0
"yesterday, it has passed a year and four months since The Great East Japan Earthquake 11 March 2011.",0,1
I'm weedless like IWD would say. Availability tomorrow. Scrapins tonight,0,-1
"Syria,Homs,Baba Amr under the fire heavy bombing by Al asad and his thugs 22 feb 2012 http://t.co/tupW9DTY",-1,0
@amirsalimi it's girls night ! We Go out somewhere to sat and then moomba ! Are you like jealous ?,0,-1
One Direction will host the Big Time Movie on Monday :),1,0
Just had a guy come into the shop enquiring about a Kyocera toner... his name was Paul Kimber ....i knew Friday... http://t.co/XgPZmY3F,0,1
Baseball game with Brentley tomorrow #goddoesgoodthing @mscutiepie143 we r. Back @AllieBrown7 @Redheadswaggin,1,0
"@itsAishaAmiri forget tanning in the sun. Come to Hollywood Tans and get your bronze on in just minutes... Saver, Faster and Private!",1,0
#favouriteAlbums BSB - Black&Blue; B2ST - Just Before Shock; THSK - Five in the Black; Maliq& D'essentials - 1st; Ra.D - Realcollabo,0,-1
going to london tomorrow for 3 days! also i shall be seeing imelda staunton live in sweeney todd.. #EXCITED,1,0
Coming to a news stand near you! The best conservative magazine on the block. I write on why GOP needs a new Jack Kemp. http://t.co/FObY27y9,0,1
Coming to news stands near you! Best conservative magazine on the block. Features my essay on GOP needing new Jack Kemp http://t.co/FObY27y9,1,0
Bryce Harper triples home Solano with the tying run in the 10th off Tim Byrdak. 4-4 #Mats and #Nats.,0,-1
#fakta on the 8th of Mar 191 Cao Cao attempted an assassination of Dong Zhuo; an evil tyrant ruling by puppeting the last Emperor of Han.,-1,0
#fakta on the 8th of Mar 191 Cao Cao attempted an assassination on Dong Zhuo; an evil tyrant that use the last Emperor of Han as a puppet.,-1,0
"@LucieGraceFace I'm busy tonight, but how about Teengirl Fantasy, Becoming Real and Seams at Corsica on Saturday dude?",0,1
"Remember that all policy ideas need to be submitted by tomorrow for the policy meeting on Saturday at the Morris Hall, Shrews, @1pm",0,-1
Great first half for Milwaukee's last two 1st Round picks. Tobias Harris with 12 and 6 and John Henson with 14 and 6.,1,0
Nitemoves foam party6 going down! next saturday!,1,0
@MattMahony86 They had a bit on E News the 29th with Adele's announcment and my dad called her a slut and not a good role model. He was,-1,1
ladies come throw that ass and niggas come throw that cash hypelounge tomorrow my birthday bash btw nitemoves foam party we still having it,1,-1
Last night when I told my dad he'd be hearing about the premiere tomorrow if he watched E News ... ~certainly didn't imagine like this :(,-1,0
A year ago tomorrow changed the ICONiac fan base forever :(,-1,1
@DJBlakBoy @loud_nospeaker we shootin the video next tuesday at Club Crucial we need you to come DJ Blakboy,0,1
@shivani_roda @Nehal_C its better you come tan at Hollywood Tans in JBR instead of burning in this MAD sun...call us on 04 458 4004,0,1
Is Wikipedia more reliable than the Encyclopaedia Britannica? Worth a 2nd thought for librarians and young researchers: http://t.co/4uRXBCRm,1,0
"Going to my cousins 16th birthday party today then semifinals tonight game 2 for Cereal Killers, game 3 for Slackers",0,1
Grandmom's Pennies will be on vacation July 25 to July 30. Monday wil be the last day to purchase from #etsy until my return next Tuesday.,0,1
"It's better than Pi Day in the states, which is 14th March, or in the mm/dd format, 3/14 (3.14). Pie, anyone? #changingthesubject",1,0
@LiebeTreueBrai lol Idek what phase my shit is..I just know morris hall 3rd floor hell,-1,0
"Miss last Friday's Soundboard on @wtju911FM? We talked McIntire Park, Stonefield, & more with @cvillenews_desk: http://t.co/jM2QIcOX",0,1
'The Announcement' may be the most emotional documentary I have ever seen. Magic Johnson is a hero and an icon.,0,1
"About to watch Kony 2012 video. Despite 100m views, there are quite a number here watching for 1st time. Interested in the reactions.#yuga",0,1
Some crazy people from Thursday at the Toronto Burlesque Festival #tbf2012 @ Gladstone Hotel http://t.co/AqqkbbWj,0,-1
The boys will be filming a golf themed video tomorrow at the same hotel where Tom Cruise is staying at in London. via E News,0,1
@fredmacpherson We've lost HQ to Wills+Kate+the Olympics till mid September. I'll have words. Party on Boris Bikes tho...,-1,0
11 more followers to go! RT/follow for a chance to win a sampler! You may even get to sample the new cigar we are releasing at the IPCPR!,1,0
"As my mom said, I shouldn't be bitter because THSK will always hold the honor and prestige of being the 1st Korean group to perform in TDome",1,-1
fact: arruba has a really fat man in their march. he is called cherie blair. xox,0,-1
Most Anticipated mixtape of the year @yungralphworld THE JUUG MAN!! Club Crucial Aug 2nd (THUR) http://t.co/2nJUud4Y,1,0
Saudi Security Forces Opened fire on Shia Terrorists in the tense Qatif district of the Eastern Province in friday. (27-7-2012),-1,0
Samajwadi Party may patch up with Trinamool Congress: SP sources affirm that party chief Mulayam Singh Yadav is likely to patch up wi...,1,0
"Saudi security forces opened fire on Shia protesters in the tense Qatif district of Eastern Province on Friday, Detail http://t.co/A3QsM6Q6",-1,0
Thinkin of using the 'Boris Bikes' tomorrow. Anyone ever used them? They any good?,0,1
@djtrocatlanta S/o to the Club Crucial fam....best service in town..open monday -thursday-saturday...2517donald lee hollowell< #str8likedat!,1,0
"Pop bottles make love, thug passion, Red Bottoms, Mon Claire, high fashion.",1,0
@Mc_Squ1zzy @Fresh_Prince01 -__- shid i may not be able 2 take screenshots of it but everybody @'s me. Peyton Siva kik'd me this morn #NoLie,-1,0
"Report: Michael Dyer stopped in March with gun, marijuana by unusually understanding state trooper: Sunday, Arka... http://t.co/YRAidQtj",-1,0
@chelseafc fans. Stay at Jurys Inn Hotel saturday night and enjoy Brighton. We are just 9 minutes from the AMEX stadium by train.,0,1
OMG!!!!!!! Slaughterhouse is gonna be dropping a mixtape with Gangsta Grillz sometime before August 28th!!!!! :D,1,0
"Going to @castlepalooza? playing main stage Sat 13.25 with Cat Dowling, then Deezer stage Sat 19.45 with Violet Roadkills! see you there!",0,1
"I have a 150 minute flight tomorrow morning. #fuck #sleeping #tonight. I'm going to sleep on the plane, and listen to Yoko Kanno.",-1,0
August 1st. Also known as the day in the summer Mario Lemieux stopped getting fries with his sandwich at the turn. Now no one eats bread.,-1,0
Michael Dyer just may be the dumbest young man alive...smh,-1,0
"Pop bottles, make love, Thug passion, Red Bottoms, Mon Claire, high fashion",1,0
My boy Dennis Kucinich at it again. Screw Ohio for redistricting the state and voting him out come November. http://t.co/HIdeMdIk,-1,1
Time to GET NEKKID with Filter Free Friday (3/8/2012) http://t.co/NEODn26B ONLY @ THE Original Global #iPhoneography Community @ #MobiTog,1,0
"@BACKSPIN_MAG Oct 15th @RapsUnited Nation presents German wave Vol1, the best German MCs you never heard #RUN http://t.co/Z9xpJRcg",1,0
